adgroup_name,title,copy,link,image_link
SFW_DeckRepair_RotDamage,Portland Deck Rot Repair,"Sagging, soft, or rotted? Free inspection.",https://sfwconstruction.com/repair-services/portland-deck-repair/?utm_source=chatgpt&utm_medium=ads&utm_campaign=deck-repair&utm_content=deckrepair-rotdamage__problem-v1,https://storage.googleapis.com/buildertrend-rip/sfw-ad-images/DeckRepair/post62_509762196-IMG_8181.jpg
SFW_DeckRepair_RotDamage,Deck Rot Repair Experts,Licensed Portland deck pros. Free estimate.,https://sfwconstruction.com/repair-services/portland-deck-repair/?utm_source=chatgpt&utm_medium=ads&utm_campaign=deck-repair&utm_content=deckrepair-rotdamage__trust-v1,https://storage.googleapis.com/buildertrend-rip/sfw-ad-images/DeckRepair/post62_509762196-IMG_8181.jpg
SFW_DeckRepair_RotDamage,Fix Your Rotted Deck,"Replace rotted boards & joists. Portland, OR.",https://sfwconstruction.com/repair-services/portland-deck-repair/?utm_source=chatgpt&utm_medium=ads&utm_campaign=deck-repair&utm_content=deckrepair-rotdamage__solution-v1,https://storage.googleapis.com/buildertrend-rip/sfw-ad-images/DeckRepair/post62_509762196-IMG_8181.jpg
SFW_DeckRepair_Structural,Deck Structural Repair,"Wobbly, unsafe deck? We rebuild it right.",https://sfwconstruction.com/repair-services/portland-deck-repair/?utm_source=chatgpt&utm_medium=ads&utm_campaign=deck-repair&utm_content=deckrepair-structural__problem-v1,https://storage.googleapis.com/buildertrend-rip/sfw-ad-images/DeckRepair/post7_368403905-20210927_130441.jpg
SFW_DeckRepair_Structural,Portland Deck Builders,"Beams, joists & decking. Licensed in OR.",https://sfwconstruction.com/repair-services/portland-deck-repair/?utm_source=chatgpt&utm_medium=ads&utm_campaign=deck-repair&utm_content=deckrepair-structural__trust-v1,https://storage.googleapis.com/buildertrend-rip/sfw-ad-images/DeckRepair/post7_368403905-20210927_130441.jpg
SFW_DeckRepair_Structural,Save Your Deck,"Repair, don't replace. Free PDX inspection.",https://sfwconstruction.com/repair-services/portland-deck-repair/?utm_source=chatgpt&utm_medium=ads&utm_campaign=deck-repair&utm_content=deckrepair-structural__solution-v1,https://storage.googleapis.com/buildertrend-rip/sfw-ad-images/DeckRepair/post7_368403905-20210927_130441.jpg
SFW_DeckRepair_Inspection,Free Deck Inspection,Portland licensed contractor. Same-week visit.,https://sfwconstruction.com/repair-services/portland-deck-repair/?utm_source=chatgpt&utm_medium=ads&utm_campaign=deck-repair&utm_content=deckrepair-inspection__offer-v1,https://storage.googleapis.com/buildertrend-rip/sfw-ad-images/DeckRepair/post21_782562654-PXL_20240613_210543640.jpg
SFW_DeckRepair_Inspection,Deck Estimate Portland,Honest pricing. Photos & written estimate.,https://sfwconstruction.com/repair-services/portland-deck-repair/?utm_source=chatgpt&utm_medium=ads&utm_campaign=deck-repair&utm_content=deckrepair-inspection__trust-v1,https://storage.googleapis.com/buildertrend-rip/sfw-ad-images/DeckRepair/post21_782562654-PXL_20240613_210543640.jpg
SFW_Chimney_WoodRot,Wood Chimney Rot Repair,"Restore framing, siding & flashing. PDX.",https://sfwconstruction.com/chimney-chase-repair/?utm_source=chatgpt&utm_medium=ads&utm_campaign=chimney-repair&utm_content=chimney-woodrot__problem-v1,https://storage.googleapis.com/buildertrend-rip/sfw-ad-images/Chimney/post29_733622966-IMG_1162.jpg
SFW_Chimney_WoodRot,Chimney Rot Specialists,Stop the rot. Portland-licensed crew.,https://sfwconstruction.com/chimney-chase-repair/?utm_source=chatgpt&utm_medium=ads&utm_campaign=chimney-repair&utm_content=chimney-woodrot__trust-v1,https://storage.googleapis.com/buildertrend-rip/sfw-ad-images/Chimney/post29_733622966-IMG_1162.jpg
