campaign_name,budget_max,budget_type,launch_date,end_date,objective,target_countries
SFW_DeckRepair_PDX_2026Q2,1000,Lifetime,2026-05-18,2026-07-15,Clicks,"[""US""]"
SFW_ChimneyRepair_PDX_2026Q2,1000,Lifetime,2026-05-18,2026-07-15,Clicks,"[""US""]"
SFW_SidingRepair_PDX_2026Q2,1000,Lifetime,2026-05-18,2026-07-15,Clicks,"[""US""]"
SFW_CrawlspaceRot_PDX_2026Q2,1000,Lifetime,2026-05-18,2026-07-15,Clicks,"[""US""]"
SFW_LeakRepair_PDX_2026Q2,600,Lifetime,2026-05-18,2026-07-15,Clicks,"[""US""]"
SFW_FlashingRepair_PDX_2026Q2,600,Lifetime,2026-05-18,2026-07-15,Clicks,"[""US""]"
SFW_LeadPaint_PDX_2026Q2,400,Lifetime,2026-05-18,2026-07-15,Clicks,"[""US""]"
SFW_DryRot_PDX_2026Q2,400,Lifetime,2026-05-18,2026-07-15,Clicks,"[""US""]"
SFW_TrimRepair_PDX_2026Q2,400,Lifetime,2026-05-18,2026-07-15,Clicks,"[""US""]"
SFW_BeamRepair_PDX_2026Q2,400,Lifetime,2026-05-18,2026-07-15,Clicks,"[""US""]"
